Position,Name,Salary,TeamAbbrev,AvgPointsPerGame,QBMatcher,,,,,,,,,,,
QB,"Watson, Deshaun",6800,HOU,5.96,0,,,,,,QB,"Mahomes II, Patrick",7000,KC,32.84,0
QB,"Jackson, Lamar",7700,BAL,33.48,0,,,,,,WR,"Crowder, Jamison",5000,NYJ,19.1,2
QB,"Prescott, Dak",6700,DAL,34.56,0,,,,,,WR,"Hill, Tyreek",7700,KC,36,1
QB,"Brees, Drew",6900,NO,21.12,0,,,,,,WR,"Landry, Jarvis",4900,CLE,24.7,2
QB,"Ryan, Matt",6200,ATL,19.44,0,,,,,,RB,"Henry, Derrick",6400,TEN,36.1,1
WR,"Jones, Julio",7500,ATL,14.7,0,,,,,,RB,"Jones, Aaron",7400,GB,27.3,0
WR,"Evans, Mike",7400,TB,10.9,0,,,,,,RB,"Williams, Damien",4900,KC,14.9,2
WR,"Godwin, Chris",7300,TB,13.7,0,,,,,,TE,"Olsen, Greg",3600,CAR,17.8,0
WR,"Jones, Marvin",5900,DET,19.9,0,,,,,,DEF,LA,3000,LA,19,0
WR,"Golladay, Kenny",6700,DET,4.4,0,,,,,,,,,,,
WR,"Diggs, Stefon",6900,MIN,26.1,0,,,,,,,,,,,
WR,"Brown, Marquise",5600,BAL,4.3,0,,,,,,,,,,,
WR,"Chark, D.J.",6200,JAC,33.4,0,,,,,,,,,,,
WR,"Anderson, Robby",4900,NYJ,7.6,2,,,,,,,,,,,
WR,"Stills, Kenny",4600,HOU,6.7,2,,,,,,,,,,,
WR,"Conley, Chris",4400,JAC,11.8,2,,,,,,,,,,,
WR,"Amendola, Danny",4200,DET,8.7,2,,,,,,,,,,,
WR,"Dorsett, Phillip",4200,NE,12.3,2,,,,,,,,,,,
TE,"Cook, Jared",4400,NO,11.3,0,,,,,,,,,,,
TE,"Olsen, Greg",3900,CAR,10.7,0,,,,,,,,,,,
TE,"Fells, Darren",3800,HOU,2.8,0,,,,,,,,,,,
TE,"Witten, Jason",3700,DAL,8.3,0,,,,,,,,,,,
TE,"Rudolph, Kyle",3600,MIN,17.7,0,,,,,,,,,,,
RB,"McCaffrey, Christian",10500,CAR,33.1,0,,,,,,,,,,,
RB,"Elliott, Ezekiel",9000,DAL,20.3,0,,,,,,,,,,,
RB,"Kamara, Alvin",7400,NO,22.2,0,,,,,,,,,,,
RB,"Mack, Marlon",6400,IND,19.9,1,,,,,,,,,,,
RB,"Murray, Latavius",6200,NO,5.2,1,,,,,,,,,,,
RB,"Coleman, Tevin",6100,SF,9.2,1,,,,,,,,,,,
RB,"Singletary, Devin",6000,BUF,8.9,1,,,,,,,,,,,
RB,"Mixon, Joe",5500,CIN,17.3,1,,,,,,,,,,,
RB,"White, James",5400,NE,9.6,2,,,,,,,,,,,
RB,"Drake, Kenyan",5400,ARI,14,2,,,,,,,,,,,
RB,"Lindsay, Phillip",5300,DEN,9.5,2,,,,,,,,,,,
RB,"Jones, Ronald",5200,TB,3.4,2,,,,,,,,,,,
RB,"Johnson, David",5100,ARI,0,2,,,,,,,,,,,
DEF,HOU,2300,HOU,-3,0,,,,,,,,,,,
DEF,MIA,2500,MIA,2,0,,,,,,,,,,,
DEF,OAK,3300,OAK,13,0,,,,,,,,,,,
DEF,DET,1800,DET,-1,0,,,,,,,,,,,
DEF,MIN,3400,MIN,4,0,,,,,,,,,,,
DEF,IND,3200,IND,10,0,,,,,,,,,,,
DEF,DEN,2400,DEN,9,0,,,,,,,,,,,
DEF,WAS,2800,WAS,5,0,,,,,,,,,,,
DEF,ARI,1500,ARI,5,0,,,,,,,,,,,
DEF,NYJ,3100,NYJ,9,0,,,,,,,,,,,
TE,"Stocker, Luke",3000,ATL,0,1,,,,,,,,,,,
WR,"Ridley, Calvin",5500,ATL,31.3,1,,,,,,,,,,,
WR,"Gage, Russell",3300,ATL,5.2,1,,,,,,,,,,,
TE,"Andrews, Mark",6100,BAL,17.5,1,,,,,,,,,,,
WR,"Snead, Willie",3900,BAL,3.3,1,,,,,,,,,,,
WR,"Boykin, Miles",3500,BAL,0,1,,,,,,,,,,,
WR,"Cooper, Amari",7700,DAL,6.8,1,,,,,,,,,,,
WR,"Gallup, Michael",6500,DAL,26.8,1,,,,,,,,,,,
WR,"Cobb, Randall",4300,DAL,24.5,1,,,,,,,,,,,
WR,"Hopkins, DeAndre",8100,HOU,15,1,,,,,,,,,,,
WR,"Coutee, Keke",3500,HOU,5.5,1,,,,,,,,,,,
WR,"Thomas, Michael",9900,NO,28.4,1,,,,,,,,,,,
WR,"Ginn Jr., Ted",4100,NO,9.4,1,,,,,,,,,,,
WR,"Smith, TreQuan",3800,NO,0,1,,,,,,,,,,,
