Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (13251745),Christian McCaffrey,13251745,RB/FLEX,8800,LAR@CAR 09/08/2019 01:00PM ET,CAR,25.28
WR,Odell Beckham Jr. (13251423),Odell Beckham Jr.,13251423,WR/FLEX,8100,TEN@CLE 09/08/2019 01:00PM ET,CLE,20.53
WR,Julio Jones (13251328),Julio Jones,13251328,WR/FLEX,8000,ATL@MIN 09/08/2019 01:00PM ET,ATL,22.37
RB,Todd Gurley II (13251553),Todd Gurley II,13251553,RB/FLEX,7900,LAR@CAR 09/08/2019 01:00PM ET,LAR,25.09
WR,Tyreek Hill (13251732),Tyreek Hill,13251732,WR/FLEX,7600,KC@JAX 09/08/2019 01:00PM ET,KC,21.22
QB,Patrick Mahomes (13251817),Patrick Mahomes,13251817,QB,7200,KC@JAX 09/08/2019 01:00PM ET,KC,27.99
TE,Travis Kelce (13251323),Travis Kelce,13251323,TE/FLEX,7100,KC@JAX 09/08/2019 01:00PM ET,KC,19.04
RB,Le'Veon Bell (13251382),Le'Veon Bell,13251382,RB/FLEX,7100,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,0
WR,Adam Thielen (13251602),Adam Thielen,13251602,WR/FLEX,6800,ATL@MIN 09/08/2019 01:00PM ET,MIN,20.96
WR,Stefon Diggs (13251549),Stefon Diggs,13251549,WR/FLEX,6700,ATL@MIN 09/08/2019 01:00PM ET,MIN,18.55
QB,Cam Newton (13251302),Cam Newton,13251302,QB,6500,LAR@CAR 09/08/2019 01:00PM ET,CAR,21.76
WR,Brandin Cooks (13251497),Brandin Cooks,13251497,WR/FLEX,6500,LAR@CAR 09/08/2019 01:00PM ET,LAR,16.47
WR,Robert Woods (13251401),Robert Woods,13251401,WR/FLEX,6400,LAR@CAR 09/08/2019 01:00PM ET,LAR,16.31
QB,Baker Mayfield (13251648),Baker Mayfield,13251648,QB,6400,TEN@CLE 09/08/2019 01:00PM ET,CLE,19.01
RB,Nick Chubb (13251722),Nick Chubb,13251722,RB/FLEX,6400,TEN@CLE 09/08/2019 01:00PM ET,CLE,12.91
RB,Damien Williams (13251534),Damien Williams,13251534,RB/FLEX,6300,KC@JAX 09/08/2019 01:00PM ET,KC,9.14
QB,Jared Goff (13251586),Jared Goff,13251586,QB,6200,LAR@CAR 09/08/2019 01:00PM ET,LAR,20.21
RB,Leonard Fournette (13251709),Leonard Fournette,13251709,RB/FLEX,6100,KC@JAX 09/08/2019 01:00PM ET,JAX,15.05
QB,Matt Ryan (13251278),Matt Ryan,13251278,QB,6100,ATL@MIN 09/08/2019 01:00PM ET,ATL,24.44
TE,Zach Ertz (13251359),Zach Ertz,13251359,TE/FLEX,6100,WAS@PHI 09/08/2019 01:00PM ET,PHI,17.53
QB,Lamar Jackson (13251869),Lamar Jackson,13251869,QB,6000,BAL@MIA 09/08/2019 01:00PM ET,BAL,10.98
