pos,rank_full,rank_full_alt,rank_slim,standard_abs_rk,standard_value_rk,sim_abs_rk,sim_value_rk,exp_points_for,exp_points_ag,ou,spread,abs_spread,salary,points,points_per_salary
WR,144.25,143.3333333,191.5,190,147,193,47,23.25,19.75,43,3.5,3.5,3000,-0.7,-0.233333333
RB,62.25,80.66666667,66,42,7,90,110,24.5,22,46.5,2.5,2.5,4500,-1,-0.222222222
QB,26.45875727,30.64583333,40.62354651,38,13,38,10,16.75,23.75,40.5,-7,7,4700,-0.8,-0.170212766
WR,65.25,65.33333333,84,90,65,78,28,21.75,19.25,41,2.5,2.5,3800,-0.4,-0.105263158
WR,59.5,75,73,63,13,83,79,16.75,23.75,40.5,-7,7,3000,-0.3,-0.1
QB,38.47921348,37.22172285,43.76067416,48,42,39,24,22.25,18.25,40.5,4,4,4100,-0.3,-0.073170732
WR,99,74,107.5,154,174,61,7,20.25,25.75,46,-5.5,5.5,4200,-0.3,-0.071428571
RB,53.75,52.66666667,78,80,57,76,2,24.75,23.25,48,1.5,1.5,3500,-0.2,-0.057142857
QB,27.44402985,29.73103234,33.61893657,24,15,25,16,19.5,25,44.5,-5.5,5.5,4400,-0.2,-0.045454545
QB,27.70396175,35.96010929,31.92377049,28,4,59,60,30.5,18,48.5,12.5,12.5,5900,-0.2,-0.033898305
RB,45.25,59.66666667,39,14,2,64,101,19,26,45,-7,7,3400,-0.1,-0.029411765
QB,33.25,44,30,17,1,43,72,26,20,46,6,6,4300,-0.1,-0.023255814
QB,52.49466951,55.99431414,68.89925373,56,32,49,23,17.75,21.75,39.5,-4,4,4800,-0.1,-0.020833333
QB,49.53722334,52.8397049,65.01760563,56,32,49,23,17.75,21.75,39.5,-4,4,4800,-0.1,-0.020833333
TE,19.5,21,19,18,15,20,25,24,25.5,49.5,-1.5,1.5,2800,0,0
WR,63.25,66.33333333,80,86,54,74,39,24,25.5,49.5,-1.5,1.5,3300,0,0
WR,56.5,66.33333333,65.5,61,27,70,68,25.5,24,49.5,1.5,1.5,3300,0,0
WR,49.5,57.33333333,31.5,18,26,45,109,19.5,25,44.5,-5.5,5.5,4900,0,0
WR,58.75,70.66666667,80,75,23,85,52,19.5,25,44.5,-5.5,5.5,3000,0,0
WR,55.5,37,50,66,111,34,11,19.25,21.75,41,-2.5,2.5,4100,0,0
WR,72.75,96,92,76,3,108,104,19.25,21.75,41,-2.5,2.5,3000,0,0
RB,34,25.66666667,34.5,43,59,26,8,19.25,21.75,41,-2.5,2.5,3300,0,0
WR,44.25,53.33333333,26,13,17,39,108,22.75,26.25,49,-3.5,3.5,3400,0,0
TE,25,32.66666667,34,30,2,38,30,25,26,51,-1,1,2500,0,0
RB,1,1,1,1,1,1,1,25,26,51,-1,1,3000,0,0
WR,65.75,81,90.5,88,20,93,62,27,17.5,44.5,9.5,9.5,3100,0,0
TE,18.75,20.66666667,11,7,13,15,40,25,21.5,46.5,3.5,3.5,3300,0,0
RB,47.75,61,63,58,8,68,57,27,17,44,10,10,3200,0,0
RB,40.5,45.33333333,51.5,52,26,51,33,17,27,44,-10,10,3200,0,0
RB,51.5,52.33333333,77,78,49,76,3,19.25,25.25,44.5,-6,6,3000,0,0
WR,69.25,92,80.5,58,1,103,115,19.25,25.25,44.5,-6,6,3100,0,0
WR,64,73.33333333,82,77,36,87,56,19.25,25.25,44.5,-6,6,3300,0,0
WR,58.75,69,68,65,28,71,71,27,25.5,52.5,1.5,1.5,3200,0,0
WR,58.25,68,58.5,50,29,67,87,22.75,23.75,46.5,-1,1,3900,0,0
TE,23.25,27.33333333,33,33,11,33,16,23.25,20.25,43.5,3,3,2600,0,0
WR,59.25,41.33333333,54.5,73,113,36,15,23,21.5,44.5,1.5,1.5,3300,0,0
RB,35.75,27,35,43,62,27,11,23,21.5,44.5,1.5,1.5,3200,0,0
WR,84,74.66666667,108,113,112,103,8,29.5,16.5,46,13,13,3000,0,0
TE,18,17,19,21,21,17,13,23,20,43,3,3,3700,0,0
WR,45,54.66666667,28.5,15,16,42,107,18,25,43,-7,7,3300,0,0
RB,49.5,51.33333333,73,75,44,71,8,19,21.5,40.5,-2.5,2.5,3000,0,0
TE,25.25,33,34.5,32,2,37,30,22.5,23.5,46,-1,1,2500,0,0
WR,67,83,93,91,19,95,63,21.5,25.5,47,-4,4,3300,0,0
TE,25.75,21,30.5,37,40,24,2,23.5,22.5,46,1,1,2800,0,0
WR,76.25,77,90.5,90,74,91,50,15,33.5,48.5,-18.5,18.5,4100,0,0
RB,45,54,76,77,18,75,10,21.5,23,44.5,-1.5,1.5,3300,0,0
WR,58,58,65.5,68,58,63,43,25.5,21.5,47,4,4,4000,0,0
WR,68.25,53,77,96,114,58,5,25.5,27,52.5,-1.5,1.5,4000,0,0
WR,69,91.66666667,82,62,1,102,111,20.25,23.25,43.5,-3,3,3000,0,0
TE,19.25,21,18.5,17,14,20,26,21.5,23.5,45,-2,2,2600,0,0
WR,57,39.66666667,54.5,74,109,35,10,24.75,18.75,43.5,6,6,3200,0,0
TE,18.5,17.66666667,18.5,19,21,18,16,24.25,17.25,41.5,7,7,4000,0,0
RB,49,51.33333333,73.5,76,42,71,7,17.25,24.25,41.5,-7,7,3200,0,0
WR,70.5,71.33333333,87,86,68,88,40,17.25,24.25,41.5,-7,7,4000,0,0
TE,24.25,31.66666667,33.5,30,2,37,28,25.5,19,44.5,6.5,6.5,2500,0,0
TE,25.75,21,30.5,37,40,24,2,18.75,24.75,43.5,-6,6,2700,0,0
RB,53.5,51.66666667,70.5,75,59,66,14,23.25,24.75,48,-1.5,1.5,3700,0,0
TE,22,24,22.5,20,16,25,27,24.25,20.25,44.5,4,4,2800,0,0
WR,74.75,98,96,85,5,107,102,21.25,26.75,48,-5.5,5.5,3000,0,0
RB,46.25,35.66666667,52,67,78,37,3,19,25.5,44.5,-6.5,6.5,5300,0,0
WR,82.5,85.66666667,111,109,73,113,35,19,25.5,44.5,-6.5,6.5,3000,0,0
WR,64,70.33333333,84.5,80,45,89,42,24.75,23.25,48,1.5,1.5,3400,0,0
WR,45.5,57.33333333,45.5,34,10,57,81,23,26,49,-3,3,3400,0,0
TE,21.25,21.66666667,19,18,20,20,27,21,26.5,47.5,-5.5,5.5,2600,0,0
WR,69,75.33333333,101,101,50,101,24,19.5,29,48.5,-9.5,9.5,3200,0,0
TE,22.75,28.33333333,23.5,17,6,30,38,23.75,30.75,54.5,-7,7,2600,0,0
WR,71.5,83,94,91,37,97,61,21.25,24.75,46,-3.5,3.5,3200,0,0
WR,64.25,85,88.5,79,2,98,78,17.25,24.25,41.5,-7,7,3100,0,0
TE,31.5,28.33333333,40.5,43,41,38,4,24.25,17.25,41.5,7,7,2700,0,0
RB,45.5,48.33333333,69.5,71,37,68,6,19.75,17.25,37,2.5,2.5,3100,0,0
TE,23.25,25,26,24,18,28,23,19.75,17.25,37,2.5,2.5,2600,0,0
WR,73.25,93,94,86,14,102,91,20.25,27.25,47.5,-7,7,3000,0,0
WR,72.75,95,93.5,83,6,104,98,25.5,22.5,48,3,3,3000,0,0
TE,19,20.33333333,20,19,15,21,21,21.5,18.5,40,3,3,2600,0,0
TE,14.75,12.33333333,12,13,22,11,13,21.5,18.5,40,3,3,4000,0,0
WR,44.75,31.66666667,8.5,8,84,9,78,21.5,24.5,46,-3,3,7100,0,0
WR,47,61.33333333,43.5,24,4,63,97,18.5,21,39.5,-2.5,2.5,3200,0,0
WR,77.5,69.33333333,102,105,102,99,4,23.5,20.5,44,3,3,3000,0,0
WR,47.25,58.33333333,52.5,45,14,60,70,28.75,13.75,42.5,15,15,4900,0,0
RB,47.25,51,71.5,73,36,70,10,19.25,25.25,44.5,-6,6,3200,0,0
WR,69.5,66.33333333,88.5,92,79,85,22,19.25,25.25,44.5,-6,6,3700,0,0
TE,14.5,19,9,4,1,14,39,25.25,21.75,47,3.5,3.5,2700,0,0
TE,25.25,30.33333333,36.5,35,10,38,18,20.5,23.5,44,-3,3,2900,0,0
WR,76.25,80.66666667,103,102,63,104,36,20.5,23.5,44,-3,3,3200,0,0
WR,29.75,34.66666667,16.5,11,15,22,71,24.5,21.5,46,3,3,3700,0,0
RB,28.25,35.33333333,40,39,7,41,26,22.75,17.75,40.5,5,5,3400,0,0
WR,93,122.3333333,119,101,5,137,129,26.75,23.75,50.5,3,3,3100,0,0
WR,118.75,139.3333333,160.5,153,57,168,97,19.75,20.75,40.5,-1,1,3100,0,0
WR,106.75,141.3333333,127.5,96,3,159,169,22.75,19.75,42.5,3,3,4100,0,0
RB,81.75,86,124,127,69,121,10,20.75,19.75,40.5,1,1,3200,0,0
TE,40.75,46.33333333,47.5,44,24,51,44,20.75,19.75,40.5,1,1,2600,0,0
RB,66,62.33333333,85.5,98,77,73,16,23.75,26.75,50.5,-3,3,4200,0,0
WR,79,100.3333333,83.5,65,15,102,134,29,25.5,54.5,3.5,3.5,5900,0,0
TE,28.5,16,16.5,22,66,11,15,22.5,23.5,46,-1,1,4900,0,0
WR,115.75,121,145,140,100,150,73,23.5,18.5,42,5,5,4900,0,0
WR,89.5,117.6666667,115,99,5,131,123,29,26,55,3,3,3400,0,0
QB,,,,34,36,32,34,29,26,55,3,3,4500,0,0
TE,32.25,25,25.5,31,54,20,24,22.75,19.75,42.5,3,3,3800,0,0
RB,69.5,92,92.5,71,2,114,91,24.5,14.5,39,10,10,4600,0,0
WR,87,101,85.5,79,45,92,132,24.5,14.5,39,10,10,4100,0,0
WR,95.25,117,108.5,94,30,123,134,24.5,14.5,39,10,10,4800,0,0
RB,85.75,102.6666667,114,108,35,120,80,25.5,22.5,48,3,3,4000,0,0
TE,45.5,40,57,66,62,48,6,19.75,24.25,44,-4.5,4.5,2600,0,0
WR,103.5,114.3333333,149.5,147,71,152,44,14.5,24.5,39,-10,10,4200,0,0
RB,71.25,92.33333333,92,74,8,110,93,27,23.5,50.5,3.5,3.5,5500,0,0
RB,48.5,59,67,64,17,70,43,20.5,16.5,37,4,4,3400,0,0
TE,38.75,41.33333333,38.5,35,31,42,47,18.25,22.25,40.5,-4,4,2500,0,0
WR,94.25,93.33333333,62.5,52,97,73,155,30.25,17.75,48,12.5,12.5,5700,0,0
WR,116.25,127,173,172,84,174,35,21.5,23.5,45,-2,2,3200,0,0
WR,96.75,69.33333333,94.5,122,179,67,19,20.25,19.25,39.5,1,1,3600,0,0
RB,62.75,77.33333333,99.5,105,19,94,33,26.25,16.75,43,9.5,9.5,3500,0,0
WR,119,115.3333333,130,128,130,132,86,23.5,16.5,40,7,7,4500,0,0
RB,81,88,122.5,121,60,124,19,18.25,23.75,42,-5.5,5.5,3000,0,0
