game_id,receiver_player_id,hv_plays,avg_rz_targets,ou,spread,rk,pts,ypp,turnover,cmp,pass_att,pass_tds,pass_ypa,rush_att,rush_tds,hv_plays_moving_avg
2017091400,00-0027942,1,1.78,38.5,-5.5,32,436,5.7,16,321,501,30,7.1,440,14,1.00
2017091400,00-0030564,1,1.74,38.5,5.5,16,349,5,14,336,561,20,5.6,489,13,1.00
2017091700,00-0026995,1,1.62,39.5,-7.5,31,410,5.1,13,360,525,28,6.6,467,14,2.00
2017091700,00-0033079,1,1.00,39.5,7.5,6,303,5,34,333,569,18,5.6,435,12,1.00
2017091700,00-0033080,1,1.00,39.5,7.5,6,303,5,34,333,569,18,5.6,435,12,1.00
2017091702,00-0030287,1,1.36,43.5,-6.5,30,404,5.7,20,320,513,23,7.3,488,15,1.00
2017091702,00-0032112,2,2.17,43.5,-6.5,30,404,5.7,20,320,513,23,7.3,488,15,2.00
2017091703,00-0029580,1,1.47,41.5,-1.5,2,268,4.6,33,289,509,17,4.8,429,9,1.00
2017091704,00-0027996,2,1.43,46.5,4,15,339,5.6,26,325,570,23,6.6,443,15,3.00
2017091704,00-0029137,1,1.90,46.5,4,15,339,5.6,26,325,570,23,6.6,443,15,2.00
2017091704,00-0030061,1,1.52,46.5,4,15,339,5.6,26,325,570,23,6.6,443,15,2.00
2017091704,00-0031549,1,1.38,46.5,4,15,339,5.6,26,325,570,23,6.6,443,15,1.00
2017091704,00-0032128,1,1.50,46.5,-4,4,295,5,31,363,601,24,5.7,337,7,1.00
2017091705,00-0029697,2,1.73,55,5.5,5,296,5.7,18,367,590,24,6.4,390,6,3.00
2017091705,00-0031062,2,1.50,55,-5.5,10,326,5.4,25,329,554,22,6,406,11,1.00
2017091705,00-0031236,1,1.33,55,-5.5,10,326,5.4,25,329,554,22,6,406,11,2.00
2017091706,00-0027793,1,2.10,43,-8.5,1,252,4.6,19,324,555,13,5.2,364,10,1.00
2017091706,00-0027981,1,1.73,43,8.5,7,308,5.2,22,297,499,20,5.8,385,14,1.00
2017091706,00-0030035,1,1.18,43,8.5,7,308,5.2,22,297,499,20,5.8,385,14,2.00
2017091706,00-0031588,1,1.92,43,8.5,7,308,5.2,22,297,499,20,5.8,385,14,3.00
2017091709,00-0026986,5,1.51,43.5,-14,22,382,5.4,20,329,558,30,6.4,466,13,1.00
2017091710,00-0022127,1,1.53,44,-2.5,23,382,4.9,17,294,491,29,6.1,428,9,1.00
2017091710,00-0027685,3,1.60,44,2.5,13,332,5.1,21,371,559,28,5.7,403,7,1.00
2017091710,00-0027874,1,2.09,44,2.5,13,332,5.1,21,371,559,28,5.7,403,7,2.00
2017091710,00-0027902,1,1.68,44,-2.5,23,382,4.9,17,294,491,29,6.1,428,9,2.00
2017091710,00-0028142,1,1.09,44,2.5,13,332,5.1,21,371,559,28,5.7,403,7,1.00
2017091711,00-0028825,1,1.54,46.5,3,12,329,5.3,28,324,555,21,5.8,418,15,1.00
2017091711,00-0031068,1,1.14,46.5,3,12,329,5.3,28,324,555,21,5.8,418,15,1.00
2017091711,00-0031325,1,1.44,46.5,-3,28,388,5.3,23,306,531,23,6,472,13,1.00
2017091711,00-0032241,2,1.50,46.5,-3,28,388,5.3,23,306,531,23,6,472,13,1.00
2017091712,00-0031257,1,1.13,41.5,-13.5,25,383,5.3,20,344,544,27,6.6,491,13,1.00
2017091713,00-0027944,2,1.93,54.5,-3,26,384,5.5,22,348,513,30,6.9,464,10,2.00
2017091713,00-0031381,1,1.72,54.5,3,8,315,5.1,16,362,553,22,5.8,402,9,1.00
2017091713,00-0032058,1,1.17,54.5,-3,26,384,5.5,22,348,513,30,6.9,464,10,2.00
2017091713,00-0032200,3,2.29,54.5,3,8,315,5.1,16,362,553,22,5.8,402,9,1.00
2017091800,00-0029293,1,1.38,42.5,3,27,388,5.7,19,347,561,32,6.9,464,10,1.00
2017092100,00-0026345,2,1.82,40.5,3,12,329,5.3,28,324,555,21,5.8,418,15,1.00
2017092100,00-0030431,3,1.32,40.5,-3,25,383,5.3,20,344,544,27,6.6,491,13,1.00
2017092100,00-0031325,4,1.44,40.5,-3,25,383,5.3,20,344,544,27,6.6,491,13,2.00
2017092100,00-0032241,2,1.44,40.5,-3,25,383,5.3,20,344,544,27,6.6,491,13,1.00
2017092400,00-0022943,1,1.50,38,-3,2,268,4.6,33,289,509,17,4.8,429,9,2.00
2017092401,00-0027685,2,1.63,40,-3.5,18,359,5.3,25,370,573,14,6.1,466,22,1.00
2017092401,00-0027874,3,2.09,40,-3.5,18,359,5.3,25,370,573,14,6.1,466,22,1.50
2017092401,00-0028112,1,1.45,40,3.5,23,382,4.9,17,294,491,29,6.1,428,9,1.00
2017092401,00-0028263,1,1.08,40,3.5,23,382,4.9,17,294,491,29,6.1,428,9,1.00
2017092401,00-0030670,1,1.29,40,-3.5,18,359,5.3,25,370,573,14,6.1,466,22,1.00
2017092401,00-0031299,2,1.63,40,3.5,23,382,4.9,17,294,491,29,6.1,428,9,1.00
2017092401,00-0032117,1,1.00,40,3.5,23,382,4.9,17,294,491,29,6.1,428,9,1.00
2017092402,00-0025396,1,1.39,46.5,5,11,327,5.3,21,351,550,25,6.1,353,7,1.00
2017092402,00-0029697,1,1.71,46.5,5,11,327,5.3,21,351,550,25,6.1,353,7,2.00
2017092402,00-0030801,1,1.07,46.5,5,11,327,5.3,21,351,550,25,6.1,353,7,1.00
2017092402,00-0032055,1,1.47,46.5,-5,10,326,5.4,25,329,554,22,6,406,11,1.00
2017092402,00-0032765,2,2.10,46.5,5,11,327,5.3,21,351,550,25,6.1,353,7,1.00
2017092403,00-0027793,3,2.08,43.5,-7,9,320,5.1,22,343,529,18,5.9,432,10,1.00
2017092404,00-0029632,1,1.36,50.5,-3,21,376,5.5,32,366,570,21,6.4,432,18,1.00
2017092404,00-0032058,1,1.15,50.5,-3,21,376,5.5,32,366,570,21,6.4,432,18,1.50
2017092405,00-0029608,4,1.71,42,1,31,410,5.1,13,360,525,28,6.6,467,14,3.00
2017092405,00-0031339,1,1.35,42,1,31,410,5.1,13,360,525,28,6.6,467,14,2.00
2017092405,00-0032257,2,1.23,42,-1,30,404,5.7,20,320,513,23,7.3,488,15,1.00
2017092405,00-0033080,1,1.00,42,-1,30,404,5.7,20,320,513,23,7.3,488,15,1.00
2017092405,00-0033885,1,1.00,42,-1,30,404,5.7,20,320,513,23,7.3,488,15,1.00
2017092406,00-0026189,2,1.44,41,-1,1,252,4.6,19,324,555,13,5.2,364,10,1.00
2017092406,00-0029572,1,1.20,41,1,24,382,6,26,371,549,22,7.3,440,17,2.00
2017092406,00-0030035,1,1.18,41,1,24,382,6,26,371,549,22,7.3,440,17,1.50
2017092406,00-0031588,3,1.92,41,1,24,382,6,26,371,549,22,7.3,440,17,3.00
2017092407,00-0026035,1,1.55,44.5,-13.5,32,436,5.7,16,321,501,30,7.1,440,14,1.00
2017092407,00-0027656,2,1.92,44.5,-13.5,32,436,5.7,16,321,501,30,7.1,440,14,1.00
2017092407,00-0028237,2,1.53,44.5,-13.5,32,436,5.7,16,321,501,30,7.1,440,14,1.00
2017092407,00-0030564,1,1.74,44.5,13.5,5,296,5.7,18,367,590,24,6.4,390,6,2.50
2017092407,00-0031236,3,1.33,44.5,-13.5,32,436,5.7,16,321,501,30,7.1,440,14,1.50
2017092408,00-0031547,2,1.54,43,-5.5,22,382,5.4,20,329,558,30,6.4,466,13,2.00
2017092409,00-0030061,1,1.50,42,-5,27,388,5.7,19,347,561,32,6.9,464,10,1.50
2017092410,00-0028434,2,1.74,41.5,2.5,17,356,5,21,369,605,27,5.9,398,5,1.00
2017092410,00-0029580,1,1.50,41.5,-2.5,14,332,4.9,25,325,554,19,5.6,452,14,1.00
2017092410,00-0031257,2,1.11,41.5,2.5,17,356,5,21,369,605,27,5.9,398,5,1.00
2017092411,00-0026176,3,1.81,47.5,-7,16,349,5,14,336,561,20,5.6,489,13,1.00
