game_id,receiver_player_id,hv_plays,avg_rz_targets,hv_plays_moving_avg16,hv_plays_moving_avg8,hv_plays_moving_avg4
2009111505,00-0026173,2,1.00,1.25,1.25,1.25
2015121313,00-0028497,2,1.29,1.25,1.38,1.25
2019111708,00-0034286,1,1.25,1.33,1.33,1.33
2011092511,00-0026231,4,1.67,1.62,1.63,2.00
2013120805,00-0026189,1,1.47,1.88,2.38,2.25
2009120700,00-0026231,3,2.00,1.50,1.50,1.50
2015091312,00-0022127,2,1.44,1.56,1.38,1.00
2009101800,00-0023518,1,1.00,1.00,1.00,1.00
2019121600,00-0034765,1,1.40,1.44,1.38,1.00
2015092706,00-0027725,2,1.15,1.20,1.25,1.50
2014112301,00-0025516,1,1.44,1.25,1.38,1.50
2019111702,00-0026035,1,1.53,1.19,1.00,1.00
2015122705,00-0027891,1,1.48,1.38,1.25,1.25
2012101403,00-0027942,3,1.60,1.93,2.00,2.25
2019110307,00-0035229,1,1.75,2.50,2.50,2.50
2010112809,00-0027077,2,1.42,1.27,1.25,1.50
2009101809,00-0025529,2,2.00,1.00,1.00,1.00
2014122810,00-0029667,1,1.25,1.00,1.00,1.00
2014113007,00-0028958,1,1.00,1.00,1.00,1.00
2015120601,00-0030431,1,1.35,1.56,1.63,1.50
2017092800,00-0028002,2,1.89,1.56,1.25,1.50
2011101605,00-0027912,2,1.67,1.33,1.33,1.33
2019092210,00-0033536,1,1.83,1.50,1.50,1.75
2019111702,00-0028002,3,1.74,1.25,1.25,1.00
2018110100,00-0033307,1,1.38,1.00,1.00,1.00
2016010308,00-0031235,1,2.37,2.38,2.38,2.50
2017120309,00-0033069,1,1.86,1.00,1.00,1.00
2017100802,00-0026153,1,1.08,1.08,1.13,1.00
2019092211,00-0032765,1,2.13,2.06,2.13,2.00
2019101304,00-0032257,1,1.24,1.38,1.25,1.50
2015122009,00-0025465,1,1.62,1.63,1.75,1.75
2018122200,00-0031941,1,1.58,1.38,1.50,1.00
2019122100,00-0030085,1,1.13,1.81,1.75,1.75
2016112000,00-0033009,1,1.00,1.33,1.33,1.33
