position,ppr_points,var,moving_avg,up_vol,down_vol,hv_plays,hv_points,ou,def_rk,attempts,conv_rate,ay_att,yac_att,yds_route
WR,13.60,0.47,12.22,1.66,0.44,1,8.50,40,11,9,0.44,1.36,0.04,1.39
WR,4.30,0.76,8.02,1.93,0.24,0,0,40,11,4,0.50,4.69,0.19,4.88
WR,11.00,0.71,3.80,2.15,0.31,0,0,40,11,11,0.45,1.26,0.08,1.34
WR,3.60,0.82,7.24,2.18,0.23,0,0,40,26,4,0.50,3.00,0.31,3.31
TE,3.70,0.81,3.92,2.49,0.32,0,0,40,26,3,0.67,0.22,1.67,1.89
WR,14.90,0.34,12.88,1.47,0.57,2,14.60,40,26,2,1.00,13.50,3.00,16.50
WR,1.70,0.98,8.02,3.22,0.20,0,0,40,26,2,0.50,0.50,1.25,1.75
WR,4.70,0.64,17.32,2.09,0.29,0,0,40,26,5,0.40,2.52,0.44,2.96
TE,4.90,0.62,2.02,1,1,1,3.40,40,11,2,1.00,6.25,1.00,7.25
WR,23.20,0.43,11.04,1.56,0.49,3,19.20,50,28,9,0.56,0.91,0.33,1.25
WR,12.20,0.81,3.95,2.18,0.28,2,11.10,50,20,5,0.60,1.56,0.40,1.96
TE,1.60,0.08,1.80,1,1,0,0,50,20,1,1.00,5.00,1.00,6.00
WR,21.50,0.76,9.78,2.08,0.25,2,17.10,50,28,7,0.57,2.10,0.16,2.26
WR,16.90,0.52,6.76,1.89,0.43,1,7.20,50,20,6,0.83,1.28,0.50,1.78
WR,4.70,1.10,2.20,2.90,0.37,0,0,50,20,5,0.60,0.28,0.44,0.72
TE,29.90,0.51,16.26,1.84,0.47,3,18.30,50,20,14,0.64,0.46,0.49,0.94
TE,4.60,0.63,4.82,2.19,0.37,1,4.60,50,28,1,1.00,24.00,12.00,36.00
WR,4.50,0.43,18.76,1.67,0.55,0,0,50,28,3,0.67,3.00,2.00,5.00
WR,6.80,0.68,9.64,2.21,0.29,1,3.10,43.5,,7,0.57,1.10,0.10,1.20
WR,9.90,0.66,9.80,1.87,0.20,0,0,43.5,,8,0.63,1.06,0.17,1.24
WR,3.50,0.56,10.38,1.86,0.36,1,3.50,43.5,,4,0.25,6.06,0.19,6.25
TE,8.30,0.72,5.86,2.07,0.33,0,0,43.5,,8,0.63,0.52,0.33,0.85
WR,16.90,0.56,13.04,1.81,0.44,1,7.20,43,15,5,1.00,1.92,0.44,2.36
