season,week,weekday,game_date,game_hour,favorite,underdog,spread,total
2015,1,Thu,2015-09-10,8,PIT,NE,-7,51
2015,1,Sun,2015-09-13,4,CIN,OAK,-3,43
2015,1,Sun,2015-09-13,4,BAL,DEN,-4.5,46.5
2015,1,Sun,2015-09-13,8,NYG,DAL,-7,52.5
2015,1,Sun,2015-09-13,4,TEN,TB,-3,40.5
2015,1,Sun,2015-09-13,1,SEA,STL,-3.5,41
2015,1,Sun,2015-09-13,4,NO,ARI,-2.5,48.5
2015,1,Sun,2015-09-13,4,DET,SD,-3.5,45.5
2015,1,Sun,2015-09-13,1,CAR,JAC,-3,41
2015,1,Sun,2015-09-13,1,MIA,WAS,-4,45.5
2015,1,Sun,2015-09-13,1,IND,BUF,-1,44.5
2015,1,Sun,2015-09-13,1,CLE,NYJ,-3.5,38.5
2015,1,Sun,2015-09-13,1,KC,HOU,-1,40.5
2015,1,Sun,2015-09-13,1,GB,CHI,-6.5,48.5
2015,1,Mon,2015-09-14,7,PHI,ATL,-3,56
2015,1,Mon,2015-09-14,10,MIN,SF,-2.5,42.5
2015,2,Thu,2015-09-17,8,DEN,KC,-3,42
2015,2,Sun,2015-09-20,1,ATL,NYG,-2,50
2015,2,Sun,2015-09-20,4,MIA,JAC,-6,42
2015,2,Sun,2015-09-20,4,DAL,PHI,-6.5,54
2015,2,Sun,2015-09-20,8,SEA,GB,-3,49.5
2015,2,Sun,2015-09-20,1,STL,WAS,,
2015,2,Sun,2015-09-20,1,SD,CIN,-3.5,48
2015,2,Sun,2015-09-20,4,BAL,OAK,-6,42
2015,2,Sun,2015-09-20,1,HOU,CAR,-3,41
2015,2,Sun,2015-09-20,1,TB,NO,-9,47
2015,2,Sun,2015-09-20,1,SF,PIT,-6,46
2015,2,Sun,2015-09-20,1,DET,MIN,-2.5,44
2015,2,Sun,2015-09-20,1,NE,BUF,-1,44.5
2015,2,Sun,2015-09-20,1,ARI,CHI,-2,46
2015,2,Sun,2015-09-20,1,TEN,CLE,-1,41
2015,2,Mon,2015-09-21,8,NYJ,IND,-6,46
2015,3,Thu,2015-09-24,8,WAS,NYG,-3,45
2015,3,Sun,2015-09-27,4,CHI,SEA,-16.5,43.5
2015,3,Sun,2015-09-27,8,DEN,DET,-3,45
2015,3,Sun,2015-09-27,4,BUF,MIA,-1,43.5
2015,3,Sun,2015-09-27,4,SF,ARI,-7,45
2015,3,Sun,2015-09-27,1,ATL,DAL,0,43.5
2015,3,Sun,2015-09-27,1,IND,TEN,-3.5,46.5
2015,3,Sun,2015-09-27,1,OAK,CLE,-3.5,44
2015,3,Sun,2015-09-27,1,PIT,STL,-1,48.5
2015,3,Sun,2015-09-27,1,SD,MIN,-2,45.5
2015,3,Sun,2015-09-27,1,TB,HOU,-6,41
2015,3,Sun,2015-09-27,1,PHI,NYJ,-3,47
2015,3,Sun,2015-09-27,1,NO,CAR,-9.5,43
2015,3,Sun,2015-09-27,1,JAC,NE,-14,49
2015,3,Sun,2015-09-27,1,CIN,BAL,-1.5,45.5
