season,player,tm,fantpos,g,rush_att,rush_yds,y_a,rush_td,tgt,rec,yds,rec_td,ppr
2018,Saquon Barkley,NYG,RB,16,261,1307,5.01,11,121,91,721,4,385.8
2018,Christian McCaffrey,CAR,RB,16,219,1098,5.01,7,124,107,867,6,385.5
2018,Todd Gurley,LAR,RB,14,256,1251,4.89,17,81,59,580,4,372.1
2018,Alvin Kamara,NOR,RB,15,194,883,4.55,14,105,81,709,4,354.2
2018,Tyreek Hill,KAN,WR,16,22,151,6.86,1,137,87,1479,12,334
2018,DeAndre Hopkins,HOU,WR,16,1,-7,-7,0,163,115,1572,11,333.5
2018,Davante Adams,GNB,WR,15,0,0,"",0,169,111,1386,13,329.6
2018,Ezekiel Elliott,DAL,RB,15,304,1434,4.72,6,95,77,567,3,329.1
2018,Julio Jones,ATL,WR,16,2,12,6,0,170,113,1677,8,325.9
2018,Antonio Brown,PIT,WR,15,0,0,"",0,168,104,1297,15,323.7
2018,Michael Thomas,NOR,WR,16,0,0,"",0,147,125,1405,9,315.5
2018,Adam Thielen,MIN,WR,16,5,30,6,0,153,113,1373,9,307.3
2018,JuJu Smith-Schuster,PIT,WR,16,1,13,13,0,166,111,1426,7,296.9
2018,Travis Kelce,KAN,TE,16,0,0,"",0,150,103,1336,10,294.6
2018,Mike Evans,TAM,WR,16,0,0,"",0,138,86,1524,8,284.4
2018,Zach Ertz,PHI,TE,16,0,0,"",0,156,116,1163,8,280.3
2018,James Conner,PIT,RB,13,215,973,4.53,12,71,55,497,1,280
2018,James White,NWE,RB,16,94,425,4.52,5,123,87,751,7,276.6
2018,Melvin Gordon,LAC,RB,12,175,885,5.06,10,66,50,490,4,275.5
2018,Stefon Diggs,MIN,WR,15,10,62,6.2,0,149,102,1021,9,266.3
2018,Robert Woods,LAR,WR,16,19,157,8.26,1,130,86,1219,6,265.6
2018,Keenan Allen,LAC,WR,16,9,75,8.33,0,136,97,1196,6,260.1
2018,George Kittle,SFO,TE,16,1,10,10,0,136,88,1377,5,258.7
2018,David Johnson,ARI,RB,16,258,940,3.64,7,76,50,446,3,246.6
2018,Joe Mixon,CIN,RB,14,237,1168,4.93,8,55,43,296,1,243.4
2018,Brandin Cooks,LAR,WR,16,10,68,6.8,1,117,80,1204,5,243.2
2018,T.Y. Hilton,IND,WR,14,0,0,"",0,120,76,1270,6,239
2018,Tarik Cohen,CHI,RB,16,99,444,4.48,3,91,71,725,5,233.9
2018,Kareem Hunt,KAN,RB,11,181,824,4.55,7,35,26,378,7,230.2
2018,Phillip Lindsay,DEN,RB,15,192,1037,5.4,9,47,35,241,1,222.8
2018,Tyler Lockett,SEA,WR,16,13,69,5.31,0,70,57,965,10,222.4
2018,Eric Ebron,IND,TE,16,3,-8,-2.67,1,110,66,750,13,222.2
2018,Tyler Boyd,CIN,WR,14,2,3,1.5,0,108,76,1028,7,221.1
2018,Jarvis Landry,CLE,WR,16,3,60,20,1,149,81,976,4,217.1
2018,Amari Cooper,2TM,WR,15,2,20,10,0,107,75,1005,7,215.5
2018,Julian Edelman,NWE,WR,12,9,107,11.89,0,108,74,850,6,207.4
2018,Kenny Golladay,DET,WR,15,1,8,8,0,119,70,1063,5,207.1
2018,Calvin Ridley,ATL,WR,16,6,27,4.5,0,92,64,821,10,206.8
2018,Kenyan Drake,MIA,RB,16,120,535,4.46,4,73,53,477,5,206.2
2018,Chris Carson,SEA,RB,14,247,1151,4.66,9,24,20,163,0,201.4
2018,Derrick Henry,TEN,RB,16,215,1059,4.93,12,18,15,99,0,201.4
2018,Emmanuel Sanders,DEN,WR,12,4,53,13.25,1,98,71,868,4,198.2
2018,Nick Chubb,CLE,RB,16,192,996,5.19,8,29,20,149,2,194.5
2018,Tevin Coleman,ATL,RB,16,167,800,4.79,4,44,32,276,5,193.6
2018,Jared Cook,OAK,TE,16,0,0,"",0,101,68,896,6,193.6
2018,Adrian Peterson,WAS,RB,16,251,1042,4.15,7,26,20,208,1,189
2018,Adam Humphries,TAM,WR,16,2,11,5.5,0,105,76,816,5,188.7
2018,Larry Fitzgerald,ARI,WR,16,0,0,"",0,112,69,734,6,185.7
2018,Alshon Jeffery,PHI,WR,13,0,0,"",0,92,65,843,6,185.3
2018,Chris Godwin,TAM,WR,16,0,0,"",0,95,59,842,7,185.2
2018,Corey Davis,TEN,WR,16,6,55,9.17,0,112,65,891,4,183.6
2018,Golden Tate,2TM,WR,15,4,34,8.5,0,113,74,795,4,182.9
2018,Sterling Shepard,NYG,WR,16,3,33,11,0,107,66,872,4,182.5
2018,Mohamed Sanu,ATL,WR,16,7,44,6.29,0,94,66,838,4,182.4
2018,Mike Williams,LAC,WR,16,7,28,4,1,66,43,664,10,180.2
2018,Jordan Howard,CHI,RB,16,250,935,3.74,9,26,20,145,0,180
2018,Dede Westbrook,JAX,WR,16,9,98,10.89,0,101,66,717,5,179.5
2018,Marlon Mack,IND,RB,12,195,908,4.66,9,26,17,103,1,178.1
2018,T.J. Yeldon,JAX,RB,14,104,414,3.98,1,78,55,487,4,173.1
2018,Lamar Miller,HOU,RB,14,210,973,4.63,5,35,25,163,1,172.6
2018,Aaron Jones,GNB,RB,12,133,728,5.47,8,35,26,206,1,171.4
2018,Austin Ekeler,LAC,RB,14,106,554,5.23,3,53,39,404,3,168.8
2018,Nelson Agholor,PHI,WR,16,3,32,10.67,0,97,64,736,4,165.4
2018,Zay Jones,BUF,WR,16,1,0,0,0,102,56,652,7,165.2
2018,Austin Hooper,ATL,TE,16,0,0,"",0,88,71,660,4,163
2018,Matt Breida,SFO,RB,14,153,814,5.32,3,31,27,261,2,162.5
2018,Nyheim Hines,IND,RB,16,85,314,3.69,2,81,63,425,2,160.9
2018,Dion Lewis,TEN,RB,16,155,517,3.34,1,67,59,400,1,160.7
2018,D.J. Moore,CAR,WR,16,13,172,13.23,0,82,55,788,2,157
2018,Demaryius Thomas,2TM,WR,15,0,0,"",0,89,59,677,5,156.7
2018,Jordy Nelson,OAK,WR,15,1,-2,-2,0,88,63,739,3,156.7
2018,Jalen Richard,OAK,RB,16,55,259,4.71,1,81,68,607,0,156.6
2018,Robby Anderson,NYJ,WR,14,2,-8,-4,0,94,50,752,6,156.4
2018,Allen Robinson,CHI,WR,13,1,9,9,0,94,55,754,4,153.3
