var,cush,sep,tay,tay_percent,rec,tar,yac_per_r,td
0.52,6.6,2.7,9.1,17.49,70,101,3.8,5
0.54,6,2.8,8.8,15.99,53,93,3.6,7
0.47,5.2,2.4,6.7,13.62,67,95,3.1,8
0.58,5.6,3,6.9,15.69,69,95,3.4,3
0.45,6.6,2.4,8,18.06,107,150,3.4,6
0.57,6,2.6,8.2,22.78,109,161,4.1,6
0.47,6.3,2.3,9.6,26.97,69,112,3.2,6
0.51,6.2,3,7.5,21.62,75,109,5.1,4
0.58,4.5,2.2,13.6,33.26,59,128,3,3
0.54,6.5,2.9,10.1,21.08,65,102,4,7
0.40,6.6,2.6,9.2,23.89,74,111,3.7,3
0.59,7,3,13.4,20.93,54,95,3.4,4
0.58,6.9,3.5,12,25.14,53,70,5.7,4
0.52,5.5,2.8,11.5,24.32,80,129,4.3,3
0.65,6.3,3,8.9,16.2,62,97,3.6,1
0.45,5.8,2.7,13,34.56,97,152,3.7,14
0.75,5.8,2.7,9.1,21.89,63,88,4.1,3
0.53,7.4,2.9,16,28.09,56,100,4.9,4
0.65,7.3,2.7,19.1,21.41,41,74,4.6,4
0.79,6.2,3.8,6,9.8,55,73,7.6,7
0.39,5.1,2.7,10.9,21.67,79,114,4.3,3
0.44,5.8,2.7,12.5,27.64,72,116,5.8,4
0.60,6.2,2.6,13,32.26,52,92,3.6,4
0.55,6.1,2.3,11.6,33.82,89,145,2.9,8
0.60,5,2.2,10.7,23.9,58,101,3.5,8
0.53,4.9,2.3,12.7,33.05,68,111,4.1,5
0.73,5.6,3,8,22.13,68,101,5.7,6
0.55,4.9,2.3,10.9,19.39,43,65,6.1,9
0.57,5.3,2.9,6.8,8.24,47,64,4.7,4
0.43,6.6,2.7,9.5,33.83,98,159,4.9,3
0.23,6.2,3.3,7.7,19.21,74,108,5,6
0.47,5.7,2.8,9.2,31.74,100,153,3.5,6
0.45,4.6,2.3,11.2,22.33,69,105,6,8
0.65,6.1,2.6,12,20,47,72,4.6,3
0.67,5.7,2.7,10.9,24.32,64,107,5.2,6
0.65,5.9,2.6,13.3,33.74,79,137,3,5
0.47,6.2,3.2,9.3,20.87,71,98,4.6,4
0.89,5.1,2.5,10.9,30.87,66,97,3.8,5
0.62,5.8,2.7,10.2,18.84,65,95,4.9,6
0.57,5.8,2.5,8,14.1,57,96,4,10
0.66,5.6,2.9,6.4,14.81,86,121,3.5,2
0.43,5.1,2.9,11.1,30.44,106,154,3.8,12
0.55,4.3,2.6,13.7,41.89,101,163,5.1,9
0.40,5,2.6,11.2,36.01,104,168,5,15
0.40,4.7,2.1,11.1,29.55,90,144,3.4,5
0.52,5,2.3,10,30.17,83,140,3.8,5
0.48,5.9,3,10.4,21.05,59,89,4.9,5
0.65,5.6,2.7,8.2,23.38,91,134,6.6,4
0.53,5.9,2.8,5.7,15.03,92,120,7,5
0.70,6.3,3,6.3,17.66,74,113,5.8,4
0.62,5.2,1.8,15.5,35.41,50,96,2.7,8
0.43,5.1,2.4,11.8,37.77,69,132,4.4,6
0.52,4.8,2.5,13.4,27.83,66,100,4,4
0.60,4.9,2.4,13.3,46.31,75,143,4.6,8
0.45,4.4,2,12.7,22.16,46,77,4.3,6
0.65,5.1,2.2,14.5,38.78,83,129,4.8,6
0.68,5.4,2.4,14.4,46,88,148,5.9,3
0.38,5.7,2.5,14,45.64,113,170,4.2,8
0.48,5.6,2.2,12.3,35.92,99,157,3.7,6
0.50,6.4,2.9,7.3,23.43,83,132,4.4,7
0.55,5.4,3.4,7.5,10.94,60,84,5.8,4
0.47,6,3.7,5.8,13.39,66,92,6.7,4
0.60,6.2,3,9.5,14.83,55,83,6.2,3
0.68,5.9,2.7,13.2,14.81,34,59,5.3,5
0.72,6.2,2.8,11.4,21.63,58,97,3.7,4
0.60,6.7,3.1,9.4,22.77,94,125,4.9,7
0.55,5.7,2.8,12.5,26.77,75,116,3.7,8
0.64,5.2,2.8,12.1,22.87,50,73,3.6,5
0.64,5.6,2.8,14.7,40.1,77,140,2.4,4
0.42,6.7,3.4,6.8,15.97,75,98,5,5
0.45,6.1,3.2,7.6,17.92,67,106,5.3,6
0.43,4.9,2.2,14.1,25.16,52,94,3.6,2
0.51,5.1,1.8,14.5,33,57,120,3.9,9
0.56,5.5,2.5,10.8,22.67,65,92,4.7,6
0.64,5.6,2.8,8.9,23.97,65,102,5.1,5
0.78,3.8,2,14.7,32.2,55,103,4.3,4
0.56,4.3,2.2,15.3,35.82,61,107,3.9,9
0.59,4,2.2,15.2,23.54,35,62,3.1,5
0.72,6.5,2.1,13.2,22.55,62,91,2.2,9
0.50,7.2,2.2,13.5,29.93,65,108,3.9,9
0.60,7,2.6,11.7,23.68,53,87,5.2,4
0.54,5.7,2.6,13.3,39.28,91,155,3.6,6
0.91,6.1,2.5,13.1,38.35,57,109,5.4,4
0.49,5.9,2.3,11.3,27.57,76,120,6.2,6
0.64,6.1,3,10.2,17.61,45,68,4.8,5
0.49,5.1,2.7,7.6,15.79,67,96,4.1,5
0.50,5.7,3,7.9,14.23,66,94,6.1,4
0.47,4.7,2.1,14,22.96,41,71,7.1,4
0.80,5.3,2.8,11,24.71,69,92,4.4,5
0.52,5.7,2.7,10.8,38.39,91,142,5,4
0.44,5.8,2.9,9.6,32.77,113,153,3.9,9
0.79,6.4,3,12.7,17.98,30,48,4.2,6
0.75,6.2,3.2,8.4,18.38,78,106,3.4,4
0.45,5.1,2.9,7.8,16.18,74,110,3.9,8
0.62,6.1,3.2,7.3,25.85,116,156,3.3,8
0.58,5.9,2.7,8.7,24.58,88,135,3.2,6
0.52,6.1,2.2,15.1,32.44,56,105,3.9,2
0.55,6.5,2.5,15.3,31.58,42,81,4.2,9
0.77,6.2,2.7,14.6,32.38,58,105,3.2,6
0.63,5.2,3.4,4.9,14.13,80,108,4.5,4
